term,p_pos,p_neg,class
barato,0.93056724794548,0.06943275205451993,positivo
simpático,0.9643560093492436,0.03564399065075655,positivo
ótimas,0.9866969009826152,0.013303099017384731,positivo
limpo,0.9679338228459894,0.0320661771540106,positivo
amplo,0.9838031370766084,0.016196862923391682,positivo
único,0.9258363139070059,0.0741636860929939,positivo
bacana,0.9475772000488222,0.05242279995117784,positivo
japonesa,0.9457269441529672,0.05427305584703277,positivo
lindo,0.95917897740347,0.040821022596529984,positivo
fácil,0.9766991504247876,0.023300849575212397,positivo
local,0.934324880262928,0.06567511973707181,positivo
tranquilo,0.9794048897593024,0.020595110240697455,positivo
gelada,0.9457388342750986,0.054261165724901306,positivo
quente,0.8406342913776016,0.1593657086223984,positivo
familiar,0.9784343859997026,0.021565614000297457,positivo
acessível,0.9861425716189208,0.013857428381079279,positivo
espetacular,0.986051091296975,0.013948908703025,positivo
acolhedor,0.9893299952312828,0.010670004768717215,positivo
super,0.9630962115017716,0.0369037884982284,positivo
interessante,0.9412630215996703,0.058736978400329584,positivo
excepcional,0.9673913043478259,0.03260869565217391,positivo
maravilhosos,0.9930431325780164,0.006956867421983701,positivo
péssimo,0.07463027900594603,0.9253697209940541,negativo
bonita,0.9539980885632366,0.0460019114367633,positivo
linda,0.9637286684200868,0.036271331579913135,positivo
quentes,0.9296327661867734,0.07036723381322657,positivo
regional,0.9851804580585692,0.0148195419414309,positivo
otimo,0.9899070536579804,0.01009294634201973,positivo
diferentes,0.9336257867633034,0.06637421323669655,positivo
simpáticos,0.9633682930536556,0.036631706946344426,positivo
saborosas,0.9824085554866708,0.0175914445133292,positivo
grandes,0.9327377824487652,0.06726221755123489,positivo
salgado,0.9242361618923474,0.07576383810765269,positivo
confortável,0.9562645098479744,0.04373549015202576,positivo
agradavel,0.975011786892975,0.024988213107024992,positivo
gostosos,0.968974159536773,0.031025840463227032,positivo
única,0.8191742592136584,0.1808257407863416,positivo
típica,0.9820675105485231,0.01793248945147679,positivo
maior,0.8554893365512486,0.1445106634487514,positivo
decorado,0.9717072064410048,0.028292793558995295,positivo
perfeita,0.9894713872674704,0.010528612732529594,positivo
ideal,0.9839030334124288,0.016096966587571346,positivo
crocante,0.9601671108550024,0.03983288914499748,positivo
justos,0.9881247330200768,0.011875266979923109,positivo
eficiente,0.9671985815602836,0.03280141843971631,positivo
difícil,0.8965015901862791,0.10349840981372103,positivo
cordial,0.9580449518373172,0.041955048162682834,positivo
enorme,0.9052122278425336,0.09478777215746646,positivo
mesma,0.7114020731042008,0.2885979268957992,positivo
normal,0.7945226438188494,0.2054773561811505,positivo
pequena,0.8309859154929577,0.16901408450704225,positivo
farta,0.9831558990812308,0.01684410091876914,positivo
possível,0.8490643354732959,0.150935664526704,positivo
italiana,0.9608325139298589,0.039167486070140936,positivo
certo,0.8950131233595799,0.10498687664041996,positivo
doce,0.9383528559352736,0.061647144064726475,positivo
famoso,0.9193548387096774,0.08064516129032258,positivo
variada,0.9883252402107656,0.011674759789234426,positivo
condicionado,0.8855488981415659,0.11445110185843405,positivo
alta,0.7309962588333102,0.2690037411666897,positivo
fina,0.8677462887989204,0.13225371120107962,positivo
sofisticado,0.9754156981941712,0.02458430180582872,positivo
principais,0.9156060084852654,0.08439399151473455,positivo
divino,0.9932548794489092,0.0067451205510907,positivo
tradicionais,0.9684980109665629,0.03150198903343727,positivo
maravilhosas,0.9934493127147768,0.006550687285223368,positivo
romântico,0.9867522674003872,0.013247732599612759,positivo
fantástico,0.991288323002178,0.00871167699782208,positivo
regionais,0.9912280701754386,0.008771929824561403,positivo
otima,0.9890346766635426,0.010965323336457358,positivo
igual,0.9325987020010816,0.06740129799891834,positivo
última,0.6614420062695925,0.3385579937304075,positivo
especiais,0.976121813357942,0.023878186642057903,positivo
segunda,0.7894989595005603,0.2105010404994397,positivo
razoáveis,0.9459420498774688,0.05405795012253136,positivo
ambiente,0.9694624150642734,0.030537584935726586,positivo
livre,0.9401370357014064,0.05986296429859358,positivo
gentil,0.9339138006094906,0.06608619939050936,positivo
leve,0.9361220663347772,0.06387793366522274,positivo
negativo,0.9380217267009721,0.061978273299028025,positivo
cheia,0.8201743142783902,0.17982568572160984,positivo
frescos,0.9518842091537358,0.04811579084626418,positivo
primeiro,0.7211174242424242,0.2788825757575757,positivo
forte,0.8917935142289874,0.10820648577101258,positivo
típico,0.9605512973771184,0.03944870262288165,positivo
executivo,0.9322727695599592,0.06772723044004092,positivo
branco,0.8619224641529474,0.13807753584705254,positivo
caros,0.8184260429835651,0.1815739570164349,positivo
imperdível,0.9975950420867636,0.0024049579132365178,positivo
rápida,0.9633709721839714,0.036629027816028635,positivo
charmoso,0.978823846776369,0.021176153223630968,positivo
típicos,0.9853234539754916,0.014676546024508406,positivo
bela,0.9511478620389512,0.048852137961048855,positivo
típicas,0.985765636232926,0.014234363767074047,positivo
novo,0.8453769806721226,0.15462301932787742,positivo
externa,0.9262246471355712,0.07377535286442889,positivo
prestativos,0.9771232484987132,0.02287675150128682,positivo
seca,0.7484022155943758,0.2515977844056242,positivo
nordestina,0.9836774827925272,0.01632251720747296,positivo
acessíveis,0.9878012496280868,0.01219875037191312,positivo
internacional,0.9796699092797028,0.0203300907202973,positivo
fresco,0.9288613828442136,0.07113861715578625,positivo
saudável,0.9740729574917094,0.025927042508290626,positivo
atenciosa,0.9735755573905864,0.026424442609413703,positivo
caseira,0.981377551020408,0.01862244897959184,positivo
vazio,0.5791196203567338,0.42088037964326624,positivo
divina,0.9932872253864932,0.0067127746135069175,positivo
verde,0.9330425556996346,0.06695744430036543,positivo
italiano,0.9367410889150021,0.06325891108499804,positivo
lotado,0.9003724394785847,0.09962756052141528,positivo
pequenas,0.8210385131251198,0.17896148687488025,positivo
geral,0.9159880834160874,0.08401191658391262,positivo
fantástica,0.9913617886178862,0.00863821138211382,positivo
fria,0.3565293346920949,0.6434706653079051,negativo
prestativo,0.9800239413437081,0.019976058656292085,positivo
horrível,0.07401960784313726,0.9259803921568628,negativo
completo,0.9129310344827586,0.08706896551724137,positivo
péssima,0.07693591455273699,0.9230640854472629,negativo
gostosas,0.9740407930395092,0.025959206960490658,positivo
pior,0.10270774976657328,0.8972922502334267,negativo
fraco,0.5453980099502488,0.4546019900497513,positivo
artesanais,0.978304074196754,0.021695925803246103,positivo
reais,0.7667955636765393,0.23320443632346066,positivo
antigo,0.9167219201697387,0.08327807983026124,positivo
meio,0.8468167917709202,0.1531832082290798,positivo
fritas,0.8467799856356236,0.15322001436437635,positivo
chefe,0.9130094724950032,0.08699052750499696,positivo
compatível,0.9362272240085744,0.06377277599142551,positivo
honesto,0.9735787628349613,0.02642123716503882,positivo
próprio,0.9054894685146786,0.0945105314853214,positivo
gelado,0.8877634183257656,0.11223658167423448,positivo
comum,0.7942878476759381,0.205712152324062,positivo
árabe,0.9609375,0.0390625,positivo
próxima,0.8793361447422119,0.12066385525778806,positivo
individuais,0.9491290577988916,0.050870942201108466,positivo
altos,0.8604419669520207,0.13955803304797929,positivo
japonês,0.9040663245163836,0.09593367548361627,positivo
sobremesa,0.9483375652278224,0.05166243477217746,positivo
frios,0.8487696302708051,0.151230369729195,positivo
simpática,0.9468569693288794,0.05314303067112056,positivo
passado,0.5567617866004962,0.4432382133995037,positivo
rústico,0.969741697416974,0.03025830258302583,positivo
nova,0.8022339370530821,0.1977660629469179,positivo
claro,0.856663872590109,0.14333612740989102,positivo
passada,0.6447227191413238,0.3552772808586762,positivo
variados,0.9888259605081892,0.011174039491810806,positivo
barata,0.8347280334728033,0.16527196652719664,positivo
médio,0.901006711409396,0.09899328859060402,positivo
espaçoso,0.9791231732776616,0.020876826722338204,positivo
baratos,0.9225076186329996,0.07749238136700043,positivo
moderno,0.9758399395998492,0.024160060400151,positivo
seco,0.5672187567218757,0.4327812432781243,positivo
